"candidate_name","division","V1","election_year"
"Donald Trump","East North Central",0.0772319775182514,2016
"Gary Johnson","East North Central",-2.14950310540569,2016
"Hillary Rodham Clinton","East North Central",0.477576104283782,2016
"Donald Trump","East South Central",1.07434976981948,2016
"Gary Johnson","East South Central",-2.352600699294,2016
"Hillary Rodham Clinton","East South Central",-0.134908528383409,2016
"Donald Trump","Middle Atlantic",-0.043382047656341,2016
"Gary Johnson","Middle Atlantic",-2.27167902768447,2016
"Hillary Rodham Clinton","Middle Atlantic",0.807037781533488,2016
"Donald Trump","Mountain",0.404442137499414,2016
"Gary Johnson","Mountain",-1.99825317387812,2016
"Hillary Rodham Clinton","Mountain",-0.119606992031776,2016
"Donald Trump","New England",-0.267748567062878,2016
"Gary Johnson","New England",-2.1580286780236,2016
"Hillary Rodham Clinton","New England",0.6321246285782,2016
"Donald Trump","Pacific",-0.0962150755384895,2016
"Gary Johnson","Pacific",-2.13483808510716,2016
"Hillary Rodham Clinton","Pacific",0.595366136613007,2016
"Donald Trump","South Atlantic",0.29601187367869,2016
"Gary Johnson","South Atlantic",-2.2455354998528,2016
"Hillary Rodham Clinton","South Atlantic",0.45118440652794,2016
"Donald Trump","West North Central",0.399551946560394,2016
"Gary Johnson","West North Central",-2.06126924515452,2016
"Hillary Rodham Clinton","West North Central",0.104873784095545,2016
"Donald Trump","West South Central",0.777908905498982,2016
"Gary Johnson","West South Central",-2.27597900863282,2016
"Hillary Rodham Clinton","West South Central",-0.205960652021479,2016
"Barack Obama","East North Central",0.718353849631571,2012
"Mitt Romney","East North Central",0.39775079229497,2012
"Barack Obama","East South Central",0.0249605183028213,2012
"Mitt Romney","East South Central",0.887492805412025,2012
"Barack Obama","Middle Atlantic",1.00982993345496,2012
"Mitt Romney","Middle Atlantic",0.080904353634565,2012
"Barack Obama","Mountain",0.396509360396189,2012
"Mitt Romney","Mountain",0.804831551866177,2012
"Barack Obama","New England",1.10524648197579,2012
"Mitt Romney","New England",0.0186497483839389,2012
"Barack Obama","Pacific",1.02382035060297,2012
"Mitt Romney","Pacific",0.111681408271626,2012
"Barack Obama","South Atlantic",0.57055037442643,2012
"Mitt Romney","South Atlantic",0.628056094716456,2012
"Barack Obama","West North Central",0.127472700830086,2012
"Mitt Romney","West North Central",0.809485802006253,2012
"Barack Obama","West South Central",-0.306812792026706,2012
"Mitt Romney","West South Central",1.34755434518874,2012
"Barack Obama","East North Central",0.739394848252939,2008
"John McCain","East North Central",0.321294783873402,2008
"Barack Obama","East South Central",-0.0669796199901817,2008
"John McCain","East South Central",1.21535250927832,2008
"Barack Obama","Middle Atlantic",0.834525798076095,2008
"John McCain","Middle Atlantic",0.167873431683522,2008
"Barack Obama","Mountain",0.171875072260011,2008
"John McCain","Mountain",0.884118497522341,2008
"Barack Obama","New England",1.04344698292723,2008
"John McCain","New England",-0.0371726467021166,2008
"Barack Obama","Pacific",0.947618044097985,2008
"John McCain","Pacific",0.173769941463828,2008
"Barack Obama","South Atlantic",0.484631526205359,2008
"John McCain","South Atlantic",0.623775014804166,2008
"Barack Obama","West North Central",0.378666066231991,2008
"John McCain","West North Central",0.65141129902271,2008
"Barack Obama","West South Central",-0.168909933561741,2008
"John McCain","West South Central",1.12954202270441,2008
"George W. Bush","East North Central",0.601939098457518,2004
"John Kerry","East North Central",0.486879797705133,2004
"George W. Bush","East South Central",1.20299685523635,2004
"John Kerry","East South Central",-0.040899627402589,2004
"George W. Bush","Middle Atlantic",0.272888821266324,2004
"John Kerry","Middle Atlantic",0.709072948438303,2004
"George W. Bush","Mountain",1.07081773599828,2004
"John Kerry","Mountain",-0.0703952822437386,2004
"George W. Bush","New England",-0.0141119933527222,2004
"John Kerry","New England",0.934056700949376,2004
"George W. Bush","Pacific",0.494869895349601,2004
"John Kerry","Pacific",0.570977835085936,2004
"George W. Bush","South Atlantic",0.704711572185872,2004
"John Kerry","South Atlantic",0.444902179181529,2004
"George W. Bush","West North Central",0.882302255493045,2004
"John Kerry","West North Central",0.258235155083514,2004
"George W. Bush","West South Central",1.07716950249703,2004
"John Kerry","West South Central",-0.081645661627564,2004
"Al Gore","East North Central",0.141715647570197,2000
"George W. Bush","East North Central",0.545079304353787,2000
"Ralph Nader","East North Central",-2.40852038488228,2000
"Al Gore","East South Central",0.187605216566315,2000
"George W. Bush","East South Central",0.811211941129829,2000
"Ralph Nader","East South Central",-2.62528891861334,2000
"Al Gore","Middle Atlantic",0.549502234118966,2000
"George W. Bush","Middle Atlantic",0.0922572285246617,2000
"Ralph Nader","Middle Atlantic",-2.34208365608729,2000
"Al Gore","Mountain",-0.265157175238267,2000
"George W. Bush","Mountain",0.835111023417458,2000
"Ralph Nader","Mountain",-2.46625690650232,2000
"Al Gore","New England",0.45398049366445,2000
"George W. Bush","New England",-0.0892772336049073,2000
"Ralph Nader","New England",-2.28867567264694,2000
"Al Gore","Pacific",0.265639437763297,2000
"George W. Bush","Pacific",0.128288664933321,2000
"Ralph Nader","Pacific",-2.2434855992067,2000
"Al Gore","South Atlantic",0.253565679043598,2000
"George W. Bush","South Atlantic",0.616136834559105,2000
"Ralph Nader","South Atlantic",-2.51249008002157,2000
"Al Gore","West North Central",-0.052919957241154,2000
"George W. Bush","West North Central",0.643441625833537,2000
"Ralph Nader","West North Central",-2.51449715796796,2000
"Al Gore","West South Central",-0.41992069867834,2000
"George W. Bush","West South Central",1.11152183549502,2000
"Ralph Nader","West South Central",-2.58745694676998,2000
"Bill Clinton","East North Central",0.569856089154532,1996
"Bob Dole","East North Central",-0.12172821774828,1996
"H. Ross Perot","East North Central",-1.95964687900393,1996
"Bill Clinton","East South Central",0.249705721555864,1996
"Bob Dole","East South Central",0.165778521825498,1996
