"candidate_name","division","pct_estimate","election_year"
"Donald Trump","East North Central",38.9957133033419,2016
"Gary Johnson","East North Central",7.96683635017422,2016
"Hillary Rodham Clinton","East North Central",44.5743870951157,2016
"Donald Trump","East South Central",52.8902468391867,2016
"Gary Johnson","East South Central",5.13673307539683,2016
"Hillary Rodham Clinton","East South Central",36.0395997966728,2016
"Donald Trump","Middle Atlantic",37.3149935021097,2016
"Gary Johnson","Middle Atlantic",6.26435198726115,2016
"Hillary Rodham Clinton","Middle Atlantic",49.1653354852321,2016
"Donald Trump","Mountain",43.5552874842767,2016
"Gary Johnson","Mountain",10.0744582,2016
"Hillary Rodham Clinton","Mountain",36.2528220575022,2016
"Donald Trump","New England",34.1885142112125,2016
"Gary Johnson","New England",7.84803508560311,2016
"Hillary Rodham Clinton","New England",46.727973833116,2016
"Donald Trump","Pacific",36.578781307947,2016
"Gary Johnson","Pacific",8.17118895316159,2016
"Hillary Rodham Clinton","Pacific",46.2157554139073,2016
"Donald Trump","South Atlantic",42.0443446963835,2016
"Gary Johnson","South Atlantic",6.62865410583446,2016
"Hillary Rodham Clinton","South Atlantic",44.206626804037,2016
"Donald Trump","West North Central",43.4871441590613,2016
"Gary Johnson","West North Central",9.19634838949672,2016
"Hillary Rodham Clinton","West North Central",39.3808934810952,2016
"Donald Trump","West South Central",48.7594334463277,2016
"Gary Johnson","West South Central",6.20443305897436,2016
"Hillary Rodham Clinton","West South Central",35.0495100376648,2016
"Barack Obama","East North Central",47.9295518341772,2012
"Mitt Romney","East North Central",43.462045621519,2012
"Barack Obama","East South Central",38.2673263979592,2012
"Mitt Romney","East South Central",50.2864518027211,2012
"Barack Obama","Middle Atlantic",51.9911825189873,2012
"Mitt Romney","Middle Atlantic",39.0468867489451,2012
"Barack Obama","Mountain",43.444746645126,2012
"Mitt Romney","Mountain",49.1345923450164,2012
"Barack Obama","New England",53.3207831374233,2012
"Mitt Romney","New England",38.1793877361963,2012
"Barack Obama","Pacific",52.186134732,2012
"Mitt Romney","Pacific",39.475755656,2012
"Barack Obama","South Atlantic",45.8699553062558,2012
"Mitt Romney","South Atlantic",46.6712800496732,2012
"Barack Obama","West North Central",39.6958025207957,2012
"Mitt Romney","West North Central",49.1994479068716,2012
"Barack Obama","West South Central",33.6441661030928,2012
"Mitt Romney","West South Central",56.6972696041237,2012
"Barack Obama","East North Central",48.2227517582279,2008
"John McCain","East North Central",42.3966543696203,2008
"Barack Obama","East South Central",36.9861685,2008
"John McCain","East South Central",54.8550771803797,2008
"Barack Obama","Middle Atlantic",49.5483726455696,2008
"John McCain","Middle Atlantic",40.2587744324895,2008
"Barack Obama","Mountain",40.3145360783228,2008
"John McCain","Mountain",50.2394318473101,2008
"Barack Obama","New England",52.4596258913502,2008
"John McCain","New England",37.4015196181435,2008
"Barack Obama","Pacific",51.1242787392405,2008
"John McCain","Pacific",40.3409405050633,2008
"Barack Obama","South Atlantic",44.6727022563291,2008
"John McCain","South Atlantic",46.6116245015823,2008
"Barack Obama","West North Central",43.196105761302,2008
"John McCain","West North Central",46.9967277269439,2008
"Barack Obama","West South Central",35.5658005443038,2008
"John McCain","West South Central",53.6593341170886,2008
"George W. Bush","East North Central",46.3073476405063,2004
"John Kerry","East North Central",44.7040312367089,2004
"George W. Bush","East South Central",54.6829048946488,2004
"John Kerry","East South Central",37.3495852742475,2004
"George W. Bush","Middle Atlantic",41.7221319852321,2004
"John Kerry","Middle Atlantic",47.8002252953587,2004
"George W. Bush","Mountain",52.8410290208333,2004
"John Kerry","Mountain",36.9385722840909,2004
"George W. Bush","New England",37.7228628173077,2004
"John Kerry","New England",50.9353055420673,2004
"George W. Bush","Pacific",44.8153708201893,2004
"John Kerry","Pacific",45.875911840694,2004
"George W. Bush","South Atlantic",47.7394508421599,2004
"John Kerry","South Atlantic",44.119085874351,2004
"George W. Bush","West North Central",50.2141230663616,2004
"John Kerry","West North Central",41.5179375983982,2004
"George W. Bush","West South Central",52.929538957483,2004
"John Kerry","West South Central",36.781801664966,2004
"Al Gore","East North Central",39.894273656962,2000
"George W. Bush","East North Central",45.5150236822785,2000
"Ralph Nader","East North Central",4.35750924375,2000
"Al Gore","East South Central",40.5337308608,2000
"George W. Bush","East South Central",49.2235011312,2000
"Ralph Nader","East South Central",1.33690557515924,2000
"Al Gore","Middle Atlantic",45.5766558649789,2000
"George W. Bush","Middle Atlantic",39.2050856118143,2000
"Ralph Nader","Middle Atlantic",5.28328487766323,2000
"Al Gore","Mountain",34.2246244690873,2000
"George W. Bush","Mountain",49.5565275829244,2000
"Ralph Nader","Mountain",3.55296835391061,2000
"Al Gore","New England",44.2455894289017,2000
"George W. Bush","New England",36.6754580277457,2000
"Ralph Nader","New England",6.02750890287206,2000
"Al Gore","Pacific",41.6211140283019,2000
"George W. Bush","Pacific",39.7071727327044,2000
"Ralph Nader","Pacific",6.65721884862843,2000
"Al Gore","South Atlantic",41.452869868254,2000
"George W. Bush","South Atlantic",46.5051887801587,2000
"Ralph Nader","South Atlantic",2.90872312542149,2000
"Al Gore","West North Central",37.1820856294278,2000
"George W. Bush","West North Central",46.8856727520436,2000
"Ralph Nader","West North Central",2.88075510393939,2000
"Al Gore","West South Central",32.0680417833037,2000
"George W. Bush","West South Central",53.4082282824156,2000
"Ralph Nader","West South Central",1.86408261037356,2000
"Bill Clinton","East North Central",45.8602806518987,1996
"Bob Dole","East North Central",36.223263421519,1996
"H. Ross Perot","East North Central",10.6124251914286,1996
"Bill Clinton","East South Central",41.3990825332226,1996
"Bob Dole","East South Central",40.2295825,1996
"H. Ross Perot","East South Central",8.81496713600683,1996
"Bill Clinton","Middle Atlantic",48.7846173776371,1996
"Bob Dole","Middle Atlantic",33.0726659978903,1996
"H. Ross Perot","Middle Atlantic",11.9777072689362,1996
"Bill Clinton","Mountain",40.0980540727459,1996
"Bob Dole","Mountain",41.1908426383197,1996
"H. Ross Perot","Mountain",8.64840938341346,1996
"Bill Clinton","New England",52.8445359484536,1996
"Bob Dole","New England",31.6628028188513,1996
"H. Ross Perot","New England",8.38196704153226,1996
"Bill Clinton","Pacific",46.8043880819672,1996
"Bob Dole","Pacific",34.8525921967213,1996
"H. Ross Perot","Pacific",7.40402118628912,1996
"Bill Clinton","South Atlantic",46.8458802178374,1996
"Bob Dole","South Atlantic",38.2133090855564,1996
"H. Ross Perot","South Atlantic",6.35778854632495,1996
"Bill Clinton","West North Central",42.7964407283511,1996
"Bob Dole","West North Central",38.5849248742586,1996
"H. Ross Perot","West North Central",8.85469398476821,1996
"Bill Clinton","West South Central",42.8586444964912,1996
"Bob Dole","West South Central",40.0724565508772,1996
"H. Ross Perot","West South Central",7.94988722361624,1996
"Bill Clinton","East North Central",35.6623035952733,1992
"George Bush","East North Central",37.6045026292467,1992
"H. Ross Perot","East North Central",20.7914823076087,1992
"Bill Clinton","East South Central",35.4018113212237,1992
"George Bush","East South Central",43.940204707457,1992
"H. Ross Perot","East South Central",15.2741721013841,1992
"Bill Clinton","Middle Atlantic",35.2912435651214,1992
"George Bush","Middle Atlantic",36.5054792030905,1992
"H. Ross Perot","Middle Atlantic",20.6301406277027,1992
"Bill Clinton","Mountain",29.6911548654485,1992
"George Bush","Mountain",34.752428013289,1992
"H. Ross Perot","Mountain",26.75217372,1992
"Bill Clinton","New England",34.2890218967298,1992
"George Bush","New England",31.8391077366609,1992
"H. Ross Perot","New England",23.5331782331897,1992
"Bill Clinton","Pacific",32.334332526971,1992
"George Bush","Pacific",33.7926612517289,1992
"H. Ross Perot","Pacific",29.7817957459618,1992
"Bill Clinton","South Atlantic",33.7232853039648,1992
"George Bush","South Atlantic",39.2532292995595,1992
"H. Ross Perot","South Atlantic",21.7884361406989,1992
"Bill Clinton","West North Central",33.806914775378,1992
"George Bush","West North Central",37.9624769913607,1992
"H. Ross Perot","West North Central",24.9735478147059,1992
"Bill Clinton","West South Central",37.4277533844937,1992
"George Bush","West South Central",40.6041367041139,1992
"H. Ross Perot","West South Central",24.3335999689119,1992
"George Bush","East North Central",41.273206218018,1988
"Michael S. Dukakis","East North Central",44.9762965801802,1988
"George Bush","East South Central",48.6824897576923,1988
"Michael S. Dukakis","East South Central",39.6541700153846,1988
"George Bush","Middle Atlantic",40.6874670977918,1988
"Michael S. Dukakis","Middle Atlantic",42.7132889463722,1988
