"candidate_name","election_year","weighted_pct_estimate"
"George S. McGovern",1972,26.83
"Richard M. Nixon",1972,53.34
"Gerald R. Ford",1976,32.88
"Jimmy Carter",1976,35.41
"Jimmy Carter",1980,35.7
"John B. Anderson",1980,12.93
"Ronald Reagan",1980,39.52
"Ronald Reagan",1984,53.96
"Walter F. Mondale",1984,36.02
"George Bush",1988,44.09
"Michael S. Dukakis",1988,43.87
"Bill Clinton",1992,34.15
"George Bush",1992,37.38
"H. Ross Perot",1992,23.42
"Bill Clinton",1996,45.56
"Bob Dole",1996,37.1
"H. Ross Perot",1996,8.59
"Al Gore",2000,39.79
"George W. Bush",2000,45.18
"Ralph Nader",2000,3.97
"George W. Bush",2004,47.5
"John Kerry",2004,43.18
"Barack Obama",2008,45.12
"John McCain",2008,45.5
"Barack Obama",2012,45.67
"Mitt Romney",2012,45.56
"Donald Trump",2016,41.5
"Gary Johnson",2016,7.45
"Hillary Rodham Clinton",2016,42.61
